Feature,Importance,Feature_clean
cat__Mother's qualification_5,0.0005451896067570621,Mother's qualification_5
cat__Previous qualification_15,0.0005427151989800638,Previous qualification_15
cat__Nacionality_14,0.0005228418806028726,Nacionality_14
cat__Father's qualification_5,0.00048336556326217305,Father's qualification_5
cat__Previous qualification_16,0.0004514073491482698,Previous qualification_16
cat__Previous qualification_2,0.00043136858571415665,Previous qualification_2
cat__Father's occupation_35,0.0004164429078193643,Father's occupation_35
cat__Nacionality_3,0.0003853570878101264,Nacionality_3
cat__Marital status_5,0.0003632464441516209,Marital status_5
cat__Mother's qualification_25,0.00034582510623497656,Mother's qualification_25
cat__Father's qualification_30,0.00030231688695421484,Father's qualification_30
cat__Mother's occupation_20,0.0003022795369453166,Mother's occupation_20
cat__Mother's occupation_19,0.0003021431619815032,Mother's occupation_19
cat__Mother's occupation_32,0.0002929377125179221,Mother's occupation_32
cat__Marital status_6,0.0002894682231690081,Marital status_6
cat__Father's occupation_13,0.0002779206927737966,Father's occupation_13
cat__Marital status_3,0.00027201806148795254,Marital status_3
cat__Father's occupation_29,0.00026991416864233323,Father's occupation_29
cat__Mother's occupation_22,0.000269205486142941,Mother's occupation_22
cat__Father's occupation_43,0.00025828800901427047,Father's occupation_43
cat__Nacionality_12,0.00025509545950963563,Nacionality_12
cat__Mother's occupation_30,0.0002466312520355906,Mother's occupation_30
cat__Mother's occupation_13,0.00023444803534103503,Mother's occupation_13
cat__Previous qualification_6,0.00022253112406092518,Previous qualification_6
cat__Father's occupation_36,0.00022178412565625235,Father's occupation_36
cat__Father's occupation_25,0.00021113514239126394,Father's occupation_25
cat__Nacionality_11,0.00020689432157654456,Nacionality_11
cat__Mother's qualification_28,0.00019391987282002982,Mother's qualification_28
cat__Application mode_5,0.00019353910672552797,Application mode_5
cat__Course_1,0.0001791600303061889,Course_1
cat__Father's occupation_39,0.00017720984840848092,Father's occupation_39
cat__Mother's qualification_7,0.00017165089024624722,Mother's qualification_7
cat__Nacionality_9,0.00017126640570254024,Nacionality_9
cat__Father's qualification_9,0.00016470674176273568,Father's qualification_9
cat__Mother's qualification_24,0.0001644394069194242,Mother's qualification_24
cat__Father's occupation_21,0.00015744792589511515,Father's occupation_21
cat__Previous qualification_13,0.00015648693607820543,Previous qualification_13
cat__Nacionality_8,0.00015030630125046848,Nacionality_8
cat__Mother's occupation_18,0.0001424907073815951,Mother's occupation_18
cat__Previous qualification_4,0.0001348388019570086,Previous qualification_4
cat__Nacionality_19,0.00011927551796326893,Nacionality_19
cat__Father's qualification_7,0.00011821545593279715,Father's qualification_7
cat__Mother's occupation_21,0.00011516589798447182,Mother's occupation_21
cat__Mother's qualification_26,0.00011222980521137152,Mother's qualification_26
cat__Father's qualification_16,0.00010926048893676853,Father's qualification_16
cat__Father's qualification_21,0.00010660614102429756,Father's qualification_21
cat__Father's occupation_20,0.00010637452779406494,Father's occupation_20
cat__Mother's occupation_15,0.00010109351238985533,Mother's occupation_15
cat__Father's qualification_22,9.87334792121342e-05,Father's qualification_22
cat__Father's occupation_26,9.836656563463554e-05,Father's occupation_26
cat__Mother's qualification_8,9.473146906613322e-05,Mother's qualification_8
cat__Father's occupation_15,9.458956789343372e-05,Father's occupation_15
cat__Mother's occupation_11,9.196657463780761e-05,Mother's occupation_11
cat__Father's occupation_42,8.928991606676313e-05,Father's occupation_42
cat__Mother's occupation_17,8.782693754309902e-05,Mother's occupation_17
cat__Father's qualification_26,8.641273034259568e-05,Father's qualification_26
cat__Nacionality_16,8.589179229843184e-05,Nacionality_16
cat__Father's occupation_41,8.49371176666863e-05,Father's occupation_41
cat__Father's occupation_37,8.326210243842435e-05,Father's occupation_37
cat__Previous qualification_7,8.214979634794061e-05,Previous qualification_7
cat__Father's qualification_12,7.591476026830592e-05,Father's qualification_12
cat__Father's qualification_13,7.115654433141556e-05,Father's qualification_13
cat__Application mode_2,7.094614471258139e-05,Application mode_2
cat__Father's occupation_31,6.837385279467815e-05,Father's occupation_31
cat__Father's occupation_34,6.812547227432248e-05,Father's occupation_34
cat__Mother's occupation_28,6.799513888055258e-05,Mother's occupation_28
cat__Father's occupation_16,6.692879486469562e-05,Father's occupation_16
cat__Mother's qualification_12,6.479384218417841e-05,Mother's qualification_12
cat__Mother's occupation_23,6.311099102040891e-05,Mother's occupation_23
cat__Father's qualification_33,6.0590753100449374e-05,Father's qualification_33
cat__Previous qualification_17,5.787438231842582e-05,Previous qualification_17
cat__Mother's occupation_14,5.5220335085128505e-05,Mother's occupation_14
cat__Father's qualification_20,5.4547261840078724e-05,Father's qualification_20
cat__Nacionality_18,5.3913456568259874e-05,Nacionality_18
cat__Nacionality_10,5.286705545805113e-05,Nacionality_10
cat__Father's qualification_31,5.2271350893424703e-05,Father's qualification_31
cat__Mother's occupation_27,5.1190511095191495e-05,Mother's occupation_27
cat__Mother's qualification_17,4.8505029329322876e-05,Mother's qualification_17
cat__Father's occupation_17,4.768179718927655e-05,Father's occupation_17
cat__Previous qualification_11,4.6641169452930016e-05,Previous qualification_11
cat__Father's occupation_33,4.6622853198822474e-05,Father's occupation_33
cat__Mother's qualification_29,4.513729640243486e-05,Mother's qualification_29
cat__Father's occupation_14,4.381015168343457e-05,Father's occupation_14
cat__Mother's qualification_15,4.342039512834616e-05,Mother's qualification_15
cat__Father's qualification_8,4.305083094502244e-05,Father's qualification_8
